Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_long,0,1746103272.6852791,1746103302.8025723,30.117293119430542
memory_long,1,1746103317.6378129,1746103335.8451457,18.207332849502563
memory_long,2,1746103350.0048034,1746103387.8236177,37.818814277648926
memory_long,3,1746103401.3367708,1746103427.641479,26.304708242416382
memory_long,4,1746103442.3454432,1746103470.634551,28.28910779953003
memory_long,5,1746103485.6327097,1746103513.9736216,28.340911865234375
memory_long,6,1746103527.9525816,1746103564.1651878,36.21260619163513
memory_long,7,1746103578.0149863,1746103607.9717095,29.9567232131958
memory_long,8,1746103621.809915,1746103650.6121163,28.80220127105713
memory_long,9,1746103664.622926,1746103695.3563359,30.733409881591797
