Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_low,0,1747035411.8236377,1747035413.321276,1.49763822555542
io_low,1,1747035415.2598684,1747035416.838065,1.5781965255737305
io_low,2,1747035418.6169844,1747035420.1038961,1.4869117736816406
io_low,3,1747035421.824232,1747035423.4119878,1.5877556800842285
io_low,4,1747035425.147907,1747035426.6238382,1.475931167602539
io_low,5,1747035428.4188197,1747035430.087911,1.6690912246704102
io_low,6,1747035431.8594654,1747035433.3297296,1.470264196395874
io_low,7,1747035435.0660503,1747035436.742231,1.6761806011199951
io_low,8,1747035438.5078075,1747035439.9719903,1.4641828536987305
io_low,9,1747035441.7032387,1747035443.2878752,1.5846364498138428
