Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_medium,0,1747035482.505858,1747035512.7091866,30.203328609466553
io_medium,1,1747035514.510407,1747035541.2436523,26.733245372772217
io_medium,2,1747035543.8050127,1747035570.2626069,26.45759415626526
io_medium,3,1747035571.9930081,1747035602.7111573,30.718149185180664
io_medium,4,1747035604.3729699,1747035631.0623388,26.689368963241577
io_medium,5,1747035632.8793333,1747035662.8867261,30.00739288330078
io_medium,6,1747035664.5514555,1747035695.306728,30.755272388458252
io_medium,7,1747035697.066133,1747035723.1290066,26.062873601913452
io_medium,8,1747035724.862698,1747035753.5452917,28.68259358406067
io_medium,9,1747035755.250564,1747035781.297944,26.047379970550537
