Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_long,0,2025-04-22 08:32:00.248316852,2025-04-22 08:36:13.882509736,253.63419
io_long,1,2025-04-22 08:36:13.894230429,2025-04-22 08:39:34.190623718,200.29639
io_long,2,2025-04-22 08:39:34.204743649,2025-04-22 08:42:24.934470509,170.72973
io_long,3,2025-04-22 08:42:24.940208927,2025-04-22 08:45:15.501703995,170.56150
io_long,4,2025-04-22 08:45:15.509760519,2025-04-22 08:48:05.955225542,170.44547
io_long,5,2025-04-22 08:48:05.960374967,2025-04-22 08:50:55.157266146,169.19689
io_long,6,2025-04-22 08:50:55.162756155,2025-04-22 08:53:44.229332056,169.06658
io_long,7,2025-04-22 08:53:44.234738162,2025-04-22 08:56:34.541042043,170.30630
io_long,8,2025-04-22 08:56:34.569932300,2025-04-22 09:00:49.353224231,254.78329
io_long,9,2025-04-22 09:00:49.369101470,2025-04-22 09:04:34.114969663,224.74587
