Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_long,0,1745320594.3641381,1745320622.8128717,28.44873356819153
memory_long,1,1745320626.9160516,1745320656.9794197,30.06336808204651
memory_long,2,1745320662.285821,1745320688.8965495,26.61072850227356
memory_long,3,1745320692.7275727,1745320718.3494887,25.62191605567932
memory_long,4,1745320724.0188487,1745320751.9544806,27.93563199043274
memory_long,5,1745320756.023694,1745320784.6255357,28.601841688156128
memory_long,6,1745320789.6700535,1745320817.8524215,28.18236804008484
memory_long,7,1745320822.266148,1745320849.8669534,27.600805282592773
memory_long,8,1745320854.6799924,1745320883.3553538,28.675361394882202
memory_long,9,1745320887.262,1745320913.7735,26.511499881744385
