Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_long,0,1746086929.7574785,1746086974.0307693,44.27329087257385
cpu_long,1,1746086975.4428098,1746087019.8636308,44.42082095146179
cpu_long,2,1746087020.6047134,1746087064.9239235,44.319210052490234
cpu_long,3,1746087065.7866118,1746087110.0748208,44.288208961486816
cpu_long,4,1746087110.6869628,1746087155.3858697,44.698906898498535
cpu_long,5,1746087156.8554702,1746087201.1326585,44.277188301086426
cpu_long,6,1746087201.7020116,1746087245.9990344,44.29702281951904
cpu_long,7,1746087246.4323995,1746087291.8709154,45.43851590156555
cpu_long,8,1746087293.1233296,1746087337.418615,44.29528546333313
cpu_long,9,1746087337.9379098,1746087382.2359178,44.29800796508789
