Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_low,0,1746084655.4447362,1746084655.5405533,0.09581708908081055
cpu_low,1,1746084657.4744284,1746084657.5707204,0.09629201889038086
cpu_low,2,1746084659.2800207,1746084659.3755925,0.09557175636291504
cpu_low,3,1746084661.1007838,1746084661.1975102,0.0967264175415039
cpu_low,4,1746084662.9369223,1746084663.0328698,0.0959475040435791
cpu_low,5,1746084664.7312856,1746084664.8568642,0.1255786418914795
cpu_low,6,1746084666.62198,1746084666.718219,0.09623908996582031
cpu_low,7,1746084668.4845757,1746084668.580034,0.0954582691192627
cpu_low,8,1746084670.3595428,1746084670.4553583,0.09581542015075684
cpu_low,9,1746084672.1864817,1746084672.2821932,0.09571146965026855
