Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_medium,0,1746084692.2753274,1746084694.6595404,2.3842129707336426
cpu_medium,1,1746084696.3678958,1746084698.7547343,2.386838436126709
cpu_medium,2,1746084700.5420685,1746084702.9311442,2.389075756072998
cpu_medium,3,1746084704.6743596,1746084707.1000967,2.425737142562866
cpu_medium,4,1746084709.0335503,1746084711.417342,2.38379168510437
cpu_medium,5,1746084713.1442025,1746084715.5286417,2.38443922996521
cpu_medium,6,1746084717.2837603,1746084719.6676695,2.383909225463867
cpu_medium,7,1746084721.417755,1746084723.8030274,2.38527250289917
cpu_medium,8,1746084725.5443034,1746084727.9281201,2.383816719055176
cpu_medium,9,1746084729.6359794,1746084732.020245,2.384265661239624
