Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
memory_medium,0,1745398344.732542,1745398347.241775,2.509232997894287
memory_medium,1,1745398359.3152976,1745398367.9695795,8.654281854629517
memory_medium,2,1745398378.702157,1745398381.4034853,2.7013282775878906
memory_medium,3,1745398392.1269934,1745398394.5464823,2.4194889068603516
memory_medium,4,1745398407.1066394,1745398410.3711767,3.2645373344421387
memory_medium,5,1745398421.562612,1745398433.1044066,11.541794538497925
memory_medium,6,1745398443.942479,1745398446.839664,2.8971850872039795
memory_medium,7,1745398457.3505857,1745398461.0128765,3.6622908115386963
memory_medium,8,1745398473.964778,1745398476.1819382,2.217160224914551
memory_medium,9,1745398487.988647,1745398492.3392997,4.350652694702148
