Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
cpu_medium,0,1746083511.3135545,1746083513.7001665,2.3866119384765625
cpu_medium,0,1746083515.422086,1746083517.8079307,2.3858447074890137
cpu_medium,0,1746083519.54485,1746083521.9304926,2.3856425285339355
cpu_medium,0,1746083523.6418302,1746083526.0285385,2.3867082595825195
cpu_medium,0,1746083527.77584,1746083530.16207,2.386229991912842
cpu_medium,0,1746083531.8800128,1746083534.266194,2.386181354522705
cpu_medium,0,1746083536.0116885,1746083538.397441,2.3857524394989014
cpu_medium,0,1746083540.1487327,1746083542.536234,2.3875012397766113
cpu_medium,0,1746083544.244582,1746083546.6304626,2.385880708694458
cpu_medium,0,1746083548.3868127,1746083550.7723043,2.3854916095733643
