Experiment Name,Run Number,Start Time,Finish Time,Duration (s)
io_medium,0,1747034751.5526457,1747034783.6304233,32.07777762413025
io_medium,1,1747034784.1036048,1747034810.4501934,26.346588611602783
io_medium,2,1747034810.9035404,1747034836.955398,26.051857709884644
io_medium,3,1747034837.4115384,1747034865.8277128,28.41617441177368
io_medium,4,1747034866.3398454,1747034892.22264,25.882794618606567
io_medium,5,1747034892.7506034,1747034918.5562565,25.80565309524536
io_medium,6,1747034919.2066777,1747034952.10646,32.89978241920471
io_medium,7,1747034952.5483718,1747034978.5278637,25.97949194908142
io_medium,8,1747034979.080054,1747035007.6717854,28.591731309890747
io_medium,9,1747035008.3279939,1747035041.0167687,32.688774824142456
