Experiment Name,Run Number,Duration (s)
memory_low,1,0.2569715976715088
memory_low,Average,0.2569715976715088
memory_low,1,0.24683403968811035
memory_low,Average,0.24683403968811035
memory_low,1,0.2513613700866699
memory_low,Average,0.2513613700866699
memory_low,1,0.2538621425628662
memory_low,Average,0.2538621425628662
memory_low,1,0.2570321559906006
memory_low,Average,0.2570321559906006
memory_low,1,0.25173282623291016
memory_low,Average,0.25173282623291016
memory_low,1,0.2536346912384033
memory_low,Average,0.2536346912384033
memory_low,1,0.25695228576660156
memory_low,Average,0.25695228576660156
memory_low,1,0.2509794235229492
memory_low,Average,0.2509794235229492
memory_low,1,0.25389933586120605
memory_low,Average,0.25389933586120605
