Container ID, Experiment (i), Start Time (ns),Finish Time (ns),Duration (ns)
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802475898752267,1744802478211994028,2313241761
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802478217373880,1744802480491930179,2274556299
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802480497153465,1744802482785932376,2288778911
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802482791054723,1744802485099823399,2308768676
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802485104681887,1744802487370053997,2265372110
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802487375080873,1744802489663174725,2288093852
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802489668275823,1744802491980844580,2312568757
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802491986370010,1744802494311686299,2325316289
Usage: python3 memory_test.py <experiment_name> <run_number>,8,1744802494316938130,1744802496641324253,2324386123
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802496651028366,1744802498951583255,2300554889
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802498957101030,1744802501300839513,2343738483
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802501306336299,1744802503572020964,2265684665
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802503577010447,1744802505960743078,2383732631
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802505966050328,1744802508247720334,2281670006
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802508253780361,1744802510506894264,2253113903
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802510512146826,1744802512870688796,2358541970
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802512876217615,1744802515151276136,2275058521
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802515156374112,1744802517442396659,2286022547
Usage: python3 memory_test.py <experiment_name> <run_number>,9,1744802517447433228,1744802519714189755,2266756527
